BJD,RV,RV_Err,FWHM,BIS,Instrument
2.45723566962e6,24557.22,6.99,11.538,-0.021,FIES
2.45723950242e6,24580.43,5.65,11.549,0.003,FIES
2.45723957252e6,24582.36,5.52,11.560,-0.013,FIES
2.45723965383e6,24576.87,6.13,11.547,-0.011,FIES
2.45724051866e6,24581.82,4.81,11.558,-0.003,FIES
2.45724062475e6,24575.68,5.84,11.551,-0.020,FIES
2.4572415516e6,24590.82,7.26,11.573,-0.002,FIES
2.45724164591e6,24595.43,5.24,11.546,0.005,FIES
2.45724867838e6,24565.1,18.44,11.552,0.015,FIES
2.45724958312e6,24575.34,6.52,11.548,-0.006,FIES
2.45726153317e6,24577.38,6.0,11.545,-0.008,FIES
2.45726266662e6,24554.68,7.26,11.578,-0.009,FIES
2.45734242953e6,24539.24,6.0,11.546,0.003,FIES
2.45734342036e6,24556.29,9.07,11.531,0.018,FIES
2.45734441133e6,24544.61,7.31,11.559,-0.014,FIES
2.45739432683e6,24583.37,5.6,11.556,-0.020,FIES
2.45739531999e6,24581.37,5.3,11.546,0.004,FIES
